switchgear_id;switchgear_name;element_id;element_name;component_id;component_name;switchgear_status;conditions
1;КРУЭ-220кВ;1;ЭВ-220 Т-3;1;ЭВ-220;;Здесь будут условия на ЭВ-220 Т-3
1;КРУЭ-220кВ;1;ЭВ-220 Т-3;2;ЗН ЭВ-220;;Здесь будут условия на ЗН ЭВ-220 Т-3
1;КРУЭ-220кВ;1;ЭВ-220 Т-3;3;ЛР(ТР)-220;;Здесь будут условия на ЛР(ТР)-220 Т-3
1;КРУЭ-220кВ;1;ЭВ-220 Т-3;4;ЗН ЛР(ТР)-220;;Здесь будут условия на ЗН ЛР(ТР)-220 Т-3
1;КРУЭ-220кВ;1;ЭВ-220 Т-3;5;ШР-220;;Здесь будут условия на ШР-220 Т-3
1;КРУЭ-220кВ;1;ЭВ-220 Т-3;6;ЗН ШР-220;;Здесь будут условия на ЗН ШР-220 Т-3
1;КРУЭ-220кВ;2;ЭВ-220 КВЛ Дагомыс;1;ЭВ-220;;Здесь будут условия на ЭВ-220 КВЛ Дагомыс
1;КРУЭ-220кВ;2;ЭВ-220 КВЛ Дагомыс;2;ЗН ЭВ-220;;Здесь будут условия на ЗН ЭВ-220 КВЛ Дагомыс
1;КРУЭ-220кВ;2;ЭВ-220 КВЛ Дагомыс;3;ЛР(ТР)-220;;Здесь будут условия на ЛР(ТР)-220 КВЛ Дагомыс
1;КРУЭ-220кВ;2;ЭВ-220 КВЛ Дагомыс;4;ЗН ЛР(ТР)-220;;Здесь будут условия на ЗН ЛР(ТР)-220 КВЛ Дагомыс
1;КРУЭ-220кВ;2;ЭВ-220 КВЛ Дагомыс;5;ШР-220;;Здесь будут условия на ШР-220 КВЛ Дагомыс
1;КРУЭ-220кВ;2;ЭВ-220 КВЛ Дагомыс;6;ЗН ШР-220;;Здесь будут условия на ЗН ШР-220 КВЛ Дагомыс
1;КРУЭ-220кВ;3;ЭВ-220 Т-4;1;ЭВ-220;;Здесь будут условия на ЭВ-220 ЭВ-220 Т-4
1;КРУЭ-220кВ;3;ЭВ-220 Т-4;2;ЗН ЭВ-220;;Здесь будут условия на ЗН ЭВ-220 Т-4
1;КРУЭ-220кВ;3;ЭВ-220 Т-4;3;ЛР(ТР)-220;;Здесь будут условия на ЛР(ТР)-220 Т-4
1;КРУЭ-220кВ;3;ЭВ-220 Т-4;4;ЗН ЛР(ТР)-220;;Здесь будут условия на ЗН ЛР(ТР)-220 Т-4
1;КРУЭ-220кВ;3;ЭВ-220 Т-4;5;ШР-220;;Здесь будут условия на ШР-220 Т-4
1;КРУЭ-220кВ;3;ЭВ-220 Т-4;6;ЗН ШР-220;;Здесь будут условия на ЗН ШР-220 Т-4
1;КРУЭ-220кВ;4;ЭВ-220 КВЛ Псоу;1;ЭВ-220;;Здесь будут условия на ЭВ-220 КВЛ Псоу
1;КРУЭ-220кВ;4;ЭВ-220 КВЛ Псоу;2;ЗН ЭВ-220;;Здесь будут условия на ЗН ЭВ-220 КВЛ Псоу
